,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
38,Alopecurus arundinaceus,strandreverumpe,1,Alopecurus arundinaceus,,130254,99880,Alopecurus arundinaceus,Poir.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,strandreverumpe,strandreverumpe,,5290087
39,Alopecurus geniculatus,knereverumpe,2,Alopecurus geniculatus,,59842,99882,Alopecurus geniculatus,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,knereverumpe,knereverumpe,,5290090
40,Alopecurus ovatus,polarreverumpe,3,Alopecurus ovatus,,144931,143444,Alopecurus ovatus,Knapp,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,polarreverumpe,polarreverumpe,,
41,Alopecurus pratensis ssp. pratensis,engreverumpe,3,Alopecurus pratensis pratensis,,59846,99886,Alopecurus pratensis pratensis,,subspecies,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus Alopecurus pratensis,engreverumpe,engreverumpe,,7226847
42,Ammophila arenaria,marehalm,1,Ammophila arenaria,,130292,99888,Ammophila arenaria,(L.) Link,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Ammophila,,,,Plantae Magnoliophyta Monocots Poales Poaceae Ammophila,marehalm,marehalm,,5289845
43,Amphidium mougeotii,bergpolstermose,2,Amphidium mougeotii,,64216,104256,Amphidium mougeotii,(Schimp.) Schimp.,species,,,Plantae,Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Amphidium,,,,Plantae Bryophyta Bryopsida Dicranales Rhabdoweisiaceae Amphidium,bergpolstermose,bergpolstermose,,2672780
44,Anaptychia runcinata,svaberglav,2,Anaptychia runcinata,,49339,73366,Anaptychia runcinata,(With.) J. R. Laundon,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Physciaceae,Anaptychia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Physciaceae Anaptychia,svaberglav,,,2608995
45,Anastrepta orcadensis,heimose,4,Anastrepta orcadensis,,65223,105263,Anastrepta orcadensis,(Hook.) Schiffn.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Anastrepta,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Anastrophyllaceae Anastrepta,heimose,heimose,,2689205
46,Andreaea nivalis,snøsotmose,3,Andreaea nivalis,,63950,103990,Andreaea nivalis,Hook.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,snøsotmose,snøsotmose,,5283946
47,Andreaea obovata,felesotmose,3,Andreaea obovata,,63951,103991,Andreaea obovata,Thed.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,felesotmose,felesotmose,,5283918
48,Andreaea rothii,nervesotmose,1,Andreaea rothii,,63952,103992,Andreaea rothii,F.Weber & D.Mohr,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,nervesotmose,nervesotmose,,5283980
49,Andreaea rupestris,bergsotmose,2,Andreaea rupestris,,63955,103995,Andreaea rupestris,Hedw.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,bergsotmose,bergsotmose,,5283962
50,Andreaea spp.,sotmoser,3,Andreaea,,63943,103983,Andreaea,,genus,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae,sotmoseslekta,sotmoseslekta,,2673379
51,Andromeda polifolia,hvitlyng,9,Andromeda polifolia,,130305,101769,Andromeda polifolia,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Andromeda,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Andromeda,hvitlyng,kvitlyng,,5333413
52,Androsace septentrionalis,smånøkkel,3,Androsace septentrionalis,,130316,101869,Androsace septentrionalis,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Primulaceae,Androsace,,,,Plantae Magnoliophyta Eudicots Ericales Primulaceae Androsace,smånøkkel,smånøkkel,,3169326
53,Anemone nemorosa,hvitveis,18,Anemone nemorosa,,130330,103087,Anemone nemorosa,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,hvitveis,kvitsymre,,3033263
54,Anemone ranunculoides,gulveis,1,Anemone ranunculoides,,130331,103088,Anemone ranunculoides,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,gulveis,gulsymre,,3033266
55,Aneura pinguis,fettmose,8,Aneura pinguis,,65440,105480,Aneura pinguis,(L.) Dumort.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,Aneura,,,,Plantae Marchantiophyta Jungermanniopsida Metzgeriales Aneuraceae Aneura,fettmose,feittmose,,5286381
56,Angelica archangelica ssp. archangelica,fjellkvann,5,Angelica archangelica archangelica,,130352,100266,Angelica archangelica archangelica,,subspecies,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,fjellkvann,fjellkvann,,7065260
57,Angelica archangelica ssp. litoralis,strandkvann,2,Angelica archangelica litoralis,,130358,100267,Angelica archangelica litoralis,(Wahlenb.) Thell.,subspecies,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,strandkvann,strandkvann,,5371809
58,Angelica sylvestris,sløke,18,Angelica sylvestris,,130365,100268,Angelica sylvestris,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica,sløke,sløkje,,5371818
59,Anomodon attenuatus,piskraggmose,2,Anomodon attenuatus,,64491,104531,Anomodon attenuatus,(Hedw.) Huebener,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,piskraggmose,piskraggmose,,5283419
60,Anomodon longifolius,tepperaggmose,1,Anomodon longifolius,,64492,104532,Anomodon longifolius,(Schleich. ex Brid.) C.Hartm.,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,tepperaggmose,tepperaggmose,,5283424
61,Anomodon viticulosus,kalkraggmose,3,Anomodon viticulosus,,64494,104534,Anomodon viticulosus,(Hedw.) Hook. & Taylor,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,kalkraggmose,kalkraggmose,,5283423
62,Antennaria alpina,fjellkattefot,4,Antennaria alpina,,143793,100408,Antennaria alpina,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,fjellkattefot,fjellkattefot,,5385561
63,Antennaria dioica,kattefot,23,Antennaria dioica,,130402,100411,Antennaria dioica,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,kattefot,kattefot,,5385604
64,Anthelia julacea,ranksnømose,6,Anthelia julacea,,65050,105090,Anthelia julacea,(L.) Dumort.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,ranksnømose,ranksnømose,,5286360
65,Anthelia juratzkana,krypsnømose,15,Anthelia juratzkana,,65051,105091,Anthelia juratzkana,(Limpr.) Trevis.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,krypsnømose,krypsnømose,,5710214
