,Unnamed: 0,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
1061,1061,Sphagnum cuspidatum,vasstorvmose,1,Sphagnum cuspidatum,,64954,104994,Sphagnum cuspidatum,Ehrh. ex Hoffm.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,vasstorvmose,vasstorvmose,,2669112.0
1062,1062,Sphagnum divinum,Abelstorvmose,7,Sphagnum divinum,,160475,186465,Sphagnum divinum,Flatberg & Hassel,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Sphagnum,Abelstorvmose,Abelstorvmose,,10025353.0
1063,1063,Sphagnum fallax agg.,broddtorvmose,1,Sphagnum fallax,,64955,104995,Sphagnum fallax,(H.Klinggr.) H.Klinggr.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,broddtorvmose,broddtorvmose,,2669002.0
1064,1064,Sphagnum flexuosum,silketorvmose,1,Sphagnum flexuosum,,64957,104997,Sphagnum flexuosum,Dozy & Molk.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,silketorvmose,,,2669235.0
1065,1065,Sphagnum fuscum,rusttorvmose,1,Sphagnum fuscum,,64958,104998,Sphagnum fuscum,(Schimp.) H.Klinggr.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,rusttorvmose,rusttorvmose,,2669215.0
1066,1066,Sphagnum girgensohnii,grantorvmose,11,Sphagnum girgensohnii,,64959,104999,Sphagnum girgensohnii,Russow,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Acutifolia,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Acutifolia Acutifolia,grantorvmose,grantorvmose,,2669241.0
1067,1067,Sphagnum lindbergii,bjørnetorvmose,2,Sphagnum lindbergii,,64962,105002,Sphagnum lindbergii,Schimp.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,bjørnetorvmose,bjørnetorvmose,,2669078.0
1068,1068,Sphagnum medium,kjøtt-torvmose,4,Sphagnum medium,,160474,186464,Sphagnum medium,Limpr.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Sphagnum,kjøtt-torvmose,kjøtt-torvmose,,7530037.0
1069,1069,Sphagnum majus,lurvtorvmose,1,Sphagnum majus,,64964,105004,Sphagnum majus,(Russow) C.E.O.Jensen,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Cuspidata,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Cuspidata,lurvtorvmose,lurvtorvmose,,2668990.0
1070,1070,Sphagnum palustre,sumptorvmose,3,Sphagnum palustre,,64970,105010,Sphagnum palustre,L.,species,,,Plantae,Bryophyta,Sphagnopsida,Sphagnales,Sphagnaceae,Sphagnum,Sphagnum,,,Plantae Bryophyta Sphagnopsida Sphagnales Sphagnaceae Sphagnum Sphagnum,sumptorvmose,sumptorvmose,,2669006.0
