"filename", "language", "Python", "pip requirements", "CSV", "Graphviz", "Shell Script", "Gradle", "Properties", "Dart", "XML", "Kotlin", "YAML", "JSON", "SQL", "Markdown", "Log", "Jupyter", "PDF", "plist", "Swift", "HTML", "C++", "JavaScript", "comment", "blank", "total"
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 7, 85
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 42
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/home_page_lib/home_page_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/app_bar/nin_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 82
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/gad_overlay/add_species_btn.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/gad_overlay/gad_helper.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 106
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/gad_overlay/selected_species_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/gad_overlay/specie_adapter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/gad_overlay/species_selector.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 66
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/major_type_button.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 60
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/major_type_description.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 60
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/major_type_description_landscape.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 3, 110
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/major_type_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 359
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/major_type_selector.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 98
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/axis_block.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/axis_label.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 76
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/axis_label_name.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 30
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/elementary_segment_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/gad_cell.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 35
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/gad_overlay.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/mapping_scale.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/minor_type_block.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/minor_type_description.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 109
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/scaled_minor_type.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 51
"/Users/amarok/src/natur-i-norge/naturinorge_guide/lib/pages/nin_structure/major_type/minor_type_table/secondary_axis_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 102
